Gen:0 
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
1.3171690287827325:[0.1813492172668996, 0.8017443097213359, 0.33407550179449685]
0.9369969422487963:[0.1869273942828844, 0.4706597380496551, 0.2794098099162568]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]
1.2476171033763606:[0.1850978072468154, 0.7274136202023885, 0.33510567592715673]
1.2141335530360249:[0.18645968030373897, 0.7432461178472666, 0.28442775488501926]
1.2729609569861369:[0.18143863317467743, 0.8017443097213359, 0.2897780140901236]

Gen:12 
1.193631318019586:[0.22574077640520537, 0.7432461178472666, 0.2246444237671142]
0.9154422569460965:[0.20692904503810494, 0.47084207007627554, 0.23767114183171606]
1.2439610500564315:[0.2158775139626379, 0.8017443097213359, 0.2263392263724578]
0.9421983379365717:[0.22366357608605938, 0.45500957243139756, 0.26352518941911474]
0.8843194690660807:[0.17532396071202574, 0.4706597380496551, 0.23833577030439984]
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]

Gen:13 
0.9154422569460965:[0.20692904503810494, 0.47084207007627554, 0.23767114183171606]
0.9421983379365717:[0.22366357608605938, 0.45500957243139756, 0.26352518941911474]
0.8843194690660807:[0.17532396071202574, 0.4706597380496551, 0.23833577030439984]
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
0.9610525861480618:[0.20778193523537017, 0.5291579299237245, 0.22411272098896717]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]

Gen:14 
0.9154422569460965:[0.20692904503810494, 0.47084207007627554, 0.23767114183171606]
0.9421983379365717:[0.22366357608605938, 0.45500957243139756, 0.26352518941911474]
0.8843194690660807:[0.17532396071202574, 0.4706597380496551, 0.23833577030439984]
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
0.9610525861480618:[0.20778193523537017, 0.5291579299237245, 0.22411272098896717]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]
0.9464254907709966:[0.2057253693564806, 0.45500957243139756, 0.28569054898311846]

Gen:15 
0.9154422569460965:[0.20692904503810494, 0.47084207007627554, 0.23767114183171606]
0.9421983379365717:[0.22366357608605938, 0.45500957243139756, 0.26352518941911474]
0.8843194690660807:[0.17532396071202574, 0.4706597380496551, 0.23833577030439984]
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
0.9610525861480618:[0.20778193523537017, 0.5291579299237245, 0.22411272098896717]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]
0.9464254907709966:[0.2057253693564806, 0.45500957243139756, 0.28569054898311846]

Gen:16 
0.9154422569460965:[0.20692904503810494, 0.47084207007627554, 0.23767114183171606]
0.9421983379365717:[0.22366357608605938, 0.45500957243139756, 0.26352518941911474]
0.8843194690660807:[0.17532396071202574, 0.4706597380496551, 0.23833577030439984]
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
0.9610525861480618:[0.20778193523537017, 0.5291579299237245, 0.22411272098896717]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]
0.9464254907709966:[0.2057253693564806, 0.45500957243139756, 0.28569054898311846]

Gen:17 
0.9154422569460965:[0.20692904503810494, 0.47084207007627554, 0.23767114183171606]
0.9421983379365717:[0.22366357608605938, 0.45500957243139756, 0.26352518941911474]
0.8843194690660807:[0.17532396071202574, 0.4706597380496551, 0.23833577030439984]
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
0.9610525861480618:[0.20778193523537017, 0.5291579299237245, 0.22411272098896717]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]
0.9464254907709966:[0.2057253693564806, 0.45500957243139756, 0.28569054898311846]

Gen:18 
0.9154422569460965:[0.20692904503810494, 0.47084207007627554, 0.23767114183171606]
0.9421983379365717:[0.22366357608605938, 0.45500957243139756, 0.26352518941911474]
0.8843194690660807:[0.17532396071202574, 0.4706597380496551, 0.23833577030439984]
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
0.9610525861480618:[0.20778193523537017, 0.5291579299237245, 0.22411272098896717]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]
0.9464254907709966:[0.2057253693564806, 0.45500957243139756, 0.28569054898311846]

Gen:19 
0.9154422569460965:[0.20692904503810494, 0.47084207007627554, 0.23767114183171606]
